week_ending,show,this_week_gross,diff_in_dollars,avg_ticket_price,seats_sold,perfs,percent_of_cap,diff_percent_of_cap
1985-06-16,La Cage aux Folles,"$413,116.00","$4,256.00",$34.41,12007,8,89.18%,0.64%
1985-06-16,Leader of the Pack,"$123,752.00","$1,747.00",$24.77,4996,8,57.66%,-2.47%
1985-06-16,Oh! Calcutta!,"$33,890.00","$1,560.00",$14.22,2383,8,59.69%,9.08%
1985-06-16,Singin' in the Rain,"$235,688.00","-$7,736.00",$27.01,8727,0,56.43%,-9.01%
1985-06-16,Sunday in the Park with George,"$156,980.00","$3,616.00",$30.52,5143,8,83.38%,4.26%
1985-06-16,The King and I,"$177,896.00","-$229,273.00",$38.31,4644,4,65.78%,-4.82%
1985-06-16,The Odd Couple,"$142,402.00","$51,346.00",$25.87,5505,7,58.27%,18.39%
1985-06-16,The Tap Dance Kid,"$174,042.00","-$4,514.00",$27.34,6367,8,49.10%,-2.31%
1985-06-09,42nd Street,"$282,368.00",$0.00,$30.42,9281,8,70.10%,0.00%
1985-06-09,A Chorus Line,"$222,584.00",$0.00,$27.25,8167,8,69.35%,0.00%
1985-06-09,Aren't We All?,"$249,272.00",$0.00,$33.75,7386,8,84.86%,0.00%
1985-06-09,Arms and the Man,"$95,688.00",$0.00,$20.87,4586,8,84.05%,0.00%
1985-06-09,As Is,"$61,059.00",$0.00,$20.78,2938,8,53.69%,0.00%
1985-06-09,Big River,"$255,386.00",$0.00,$31.96,7992,8,98.13%,0.00%
1985-06-09,Biloxi Blues,"$306,839.00",$0.00,$28.33,10831,8,101.34%,0.00%
1985-06-09,Brighton Beach Memoirs,"$107,392.00",$0.00,$18.93,5672,8,51.83%,0.00%
1985-06-09,Cats,"$461,880.00",$0.00,$38.35,12043,8,101.58%,0.00%
1985-06-09,Doubles,"$47,452.00",$0.00,$17.52,2709,8,67.86%,0.00%
1985-06-09,Grind,"$189,253.00",$0.00,$32.62,5801,8,45.58%,0.00%
1985-06-09,La Cage aux Folles,"$408,860.00",$0.00,$34.30,11921,8,88.54%,0.00%
1985-06-09,Leader of the Pack,"$122,005.00",$0.00,$23.42,5210,8,60.13%,0.00%
1985-06-09,Oh! Calcutta!,"$32,330.00",$0.00,$14.22,2273,9,50.61%,0.00%
1985-06-09,Singin' in the Rain,"$243,424.00",$0.00,$24.05,10120,0,65.44%,0.00%
1985-06-09,Sunday in the Park with George,"$153,364.00",$0.00,$31.43,4880,8,79.12%,0.00%
1985-06-09,The King and I,"$407,169.00",$0.00,$40.84,9969,8,70.60%,0.00%
1985-06-09,The Odd Couple,"$91,056.00",$0.00,$24.17,3768,0,39.88%,0.00%
1985-06-09,The Tap Dance Kid,"$178,556.00",$0.00,$26.78,6667,8,51.41%,0.00%
