week_ending,show,this_week_gross,diff_in_dollars,avg_ticket_price,seats_sold,perfs,percent_of_cap,diff_percent_of_cap
2019-07-14,Moulin Rouge! The Musical!,1489076.0,158030.5,190.3,7825,0,1.0017,0.0005
2019-07-14,Oklahoma!,502961.12,-17959.88,114.96,4375,7,0.9601,0.0075
2019-07-14,Pretty Woman: The Musical,558415.0,331.0,85.99,6494,7,0.7943,0.0762
2019-07-14,The Book of Mormon,893588.85,-155846.75,117.32,7617,7,1.0393,0.0016
2019-07-14,The Cher Show,699569.5,49468.0,96.15,7276,7,0.7532,0.0844
2019-07-14,"Harry Potter and the Cursed Child, Parts One and Two",1209878.0,-241870.0,106.56,11354,7,1.0,0.0
2019-07-14,The Phantom of the Opera,943509.7,-150912.32,87.54,10778,7,0.9593,0.0272
2019-07-14,The Prom,621643.15,-32645.25,90.29,6885,7,0.9412,0.0266
2019-07-14,To Kill A Mockingbird,1700381.72,-200191.62,166.38,10220,7,1.0174,0.0017
2019-07-14,Tootsie,835622.6,-15410.9,102.91,8120,7,0.7241,0.0301
2019-07-14,What the Constitution Means to Me,454058.6,211848.1,112.03,4053,7,0.9931,0.0077
2019-07-14,Wicked,1574763.0,-342396.0,123.68,12733,7,0.979,-0.0005
2019-07-14,King Kong,626114.5,-40428.07,68.82,9098,7,0.7478,0.0797
2019-07-14,Waitress,449106.5,-49464.5,86.22,5209,7,0.7121,-0.0052
2019-07-14,Hamilton,2674170.0,-418585.0,284.12,9412,7,1.0178,0.0001
2019-07-14,Burn This,897621.35,237921.1,119.35,7521,8,0.9793,0.0635
2019-07-14,Ain't Too Proud¡ªThe Life and Times of the Temptations,1306279.92,-188396.72,132.12,9887,7,0.9919,0.0007
2019-07-14,Hadestown,1115438.5,-281831.0,171.32,6511,7,1.0132,-0.0006
2019-07-14,Aladdin,1412186.5,-207030.0,119.35,11832,7,0.9787,-0.0002
2019-07-14,Beautiful: The Carole King Musical,519142.0,76261.5,85.44,6076,8,0.7403,0.0265
2019-07-14,Beetlejuice,993854.8,26148.3,90.26,11011,8,0.9219,-0.0066
2019-07-14,Be More Chill,444803.3,1591.48,87.05,5110,8,0.7169,-0.0955
2019-07-14,Chicago,620228.63,-63256.84,88.45,7012,7,0.9275,0.0182
2019-07-14,Come From Away,787677.14,-62835.88,105.45,7470,7,1.0202,0.0023
2019-07-14,Dave Chappelle Live on Broadway,1431451.0,0.0,243.61,5876,4,0.9767,0.0
2019-07-14,Dear Evan Hansen,1064184.68,-138350.57,152.11,6996,7,1.0157,0.0001
2019-07-14,Frankie and Johnny in the Clair de Lune,261355.5,29610.5,72.16,3622,7,0.4449,-0.0492
2019-07-14,Frozen,1178744.1,-126543.2,102.65,11483,7,0.9741,-0.0102
2019-07-07,The Lion King,2580903.0,152989.0,190.91,13519,8,0.9964,-0.0023
2019-07-07,Moulin Rouge! The Musical!,1331045.5,712156.5,204.21,6518,0,1.0012,-0.0003
2019-07-07,My Fair Lady,928852.0,151636.0,111.59,8324,8,0.9733,0.0665
2019-07-07,Oklahoma!,520921.0,-65803.5,105.0,4961,8,0.9526,0.0194
2019-07-07,Pretty Woman: The Musical,558084.0,19532.0,83.17,6710,8,0.7181,0.0541
2019-07-07,The Book of Mormon,1049435.6,31728.3,120.74,8692,8,1.0377,0.0081
2019-07-07,The Cher Show,650101.5,-231094.5,88.04,7384,8,0.6688,-0.1028
2019-07-07,The Ferryman,949617.24,33793.88,117.53,8080,8,0.9912,0.0269
2019-07-07,Wicked,1917159.0,33056.0,131.08,14626,8,0.9795,-0.0184
2019-07-07,The Phantom of the Opera,1094422.02,43528.28,91.45,11968,8,0.9321,0.0203
2019-07-07,The Prom,654288.4,-116263.32,85.57,7646,8,0.9146,-0.034
2019-07-07,To Kill A Mockingbird,1900573.34,-45067.98,163.0,11660,8,1.0157,-0.0013
2019-07-07,Tootsie,851033.5,-247529.5,95.69,8894,8,0.694,-0.0821
2019-07-07,Waitress,498571.0,-50062.0,83.14,5997,8,0.7173,-0.0524
2019-07-07,What the Constitution Means to Me,242210.5,-282699.9,105.4,2298,4,0.9854,0.012
2019-07-07,Ink,398901.2,25320.7,80.83,4935,8,0.9684,0.1835
2019-07-07,Mean Girls,1039179.35,-27590.85,105.82,9820,8,1.002,0.0028
2019-07-07,King Kong,666542.57,-26433.09,71.76,9289,8,0.6681,-0.0161
2019-07-07,Beautiful: The Carole King Musical,442880.5,-68568.52,75.59,5859,8,0.7138,0.037
2019-07-07,Come From Away,850513.02,-86668.58,99.85,8518,8,1.0179,-0.0001
2019-07-07,"Harry Potter and the Cursed Child, Parts One and Two",1451748.0,-46739.5,111.88,12976,8,1.0,0.0
2019-07-07,Ain't Too Proud¡ªThe Life and Times of the Temptations,1494676.64,-70582.94,132.37,11292,8,0.9912,-0.0053
2019-07-07,Aladdin,1619216.5,48372.0,119.72,13525,8,0.9789,-0.0162
2019-07-07,Be More Chill,443211.82,-54358.08,76.53,5791,8,0.8124,0.0073
2019-07-07,Beetlejuice,967706.5,-8840.0,87.26,11090,8,0.9285,0.0486
2019-07-07,Burn This,659700.25,-23841.5,93.8,7033,8,0.9158,0.0713
2019-07-07,Chicago,683485.47,131584.07,87.0,7856,8,0.9093,0.1588
2019-07-07,Criss Angel Raw ¡ª The Mindfreak Unplugged,434071.5,0.0,49.36,8794,7,0.9064,0.0
2019-07-07,Dear Evan Hansen,1202535.25,-71579.23,150.41,7995,8,1.0156,-0.0004
2019-07-07,Frankie and Johnny in the Clair de Lune,231745.0,-34571.5,50.41,4597,8,0.4941,0.089
2019-07-07,Frozen,1305287.3,16036.4,98.44,13260,8,0.9843,0.008
2019-07-07,Hadestown,1397269.5,88953.5,187.68,7445,8,1.0138,0.0005
2019-07-07,Hamilton,3092755.0,-118133.0,287.56,10755,8,1.0177,-0.0001
2019-06-30,Oklahoma!,586724.5,-27749.07,120.73,4860,8,0.9332,-0.0259
2019-06-30,The Book of Mormon,1017707.3,-27570.6,118.01,8624,8,1.0296,-0.0061
2019-06-30,Regina Spektor: Live on Broadway,743113.5,0.0,101.53,7319,5,0.9791,0.0
2019-06-30,Pretty Woman: The Musical,538552.0,-74180.0,86.81,6204,8,0.664,-0.0479
2019-06-30,"Kiss Me, Kate",828224.1,50009.5,104.01,7963,8,0.9974,0.0472
2019-06-30,My Fair Lady,777216.0,-53976.5,100.22,7755,8,0.9068,-0.0298
2019-06-30,Moulin Rouge! The Musical!,618889.0,0.0,237.3,2608,0,1.0015,0.0
2019-06-30,The Ferryman,915823.36,51896.06,116.5,7861,8,0.9643,0.0552
2019-06-30,The Cher Show,881196.0,22618.0,103.44,8519,8,0.7716,0.0188
2019-06-30,Wicked,1884103.0,-108725.0,126.44,14901,8,0.9979,0.009
2019-06-30,The Lion King,2427914.0,5417.0,179.18,13550,8,0.9987,-0.0014
2019-06-30,The Phantom of the Opera,1050893.74,9444.46,89.76,11708,8,0.9118,-0.0016
2019-06-30,The Prom,770551.72,70272.5,97.17,7930,8,0.9486,0.0577
2019-06-30,To Kill A Mockingbird,1945641.32,-72672.68,166.65,11675,8,1.017,-0.0005
2019-06-30,Tootsie,1098563.0,-60592.3,110.45,9946,8,0.7761,-0.0315
2019-06-30,Waitress,548633.0,29488.5,85.26,6435,8,0.7697,0.0521
