show,total_rating,critics_rating,readers_rating
Of Mice and Men,6.46,8.18,4.73
Holler If Ya Hear Me,6.00,5.53,6.47
The Cripple of Inishmaan,7.23,8.37,6.09
The Realistic Joneses,5.72,7.33,4.10
After Midnight,7.46,8.40,6.51
All The Way,7.19,7.73,6.64
Casa Valentina,7.21,7.64,6.77
Mothers and Sons,6.09,6.69,5.49
Act One,6.00,6.89,5.11
The Bridges of Madison County,7.16,7.55,6.76
The Velocity of Autumn,5.16,5.62,4.70
No Man's Land / Waiting for Godot,,,
Outside Mullingar,6.02,7.06,4.98
Bronx Bombers,5.42,5.38,5.47
Machinal,6.86,8.05,5.67
Twelfth Night / Richard III,,,
A Night With Janis Joplin,6.29,6.59,5.98
First Date,6.49,6.35,6.63
Spider-Man Turn Off the Dark,5.77,5.05,6.48
Big Fish,6.40,6.75,6.06
The Snow Geese,6.06,6.27,5.85
Romeo and Juliet,4.87,5.61,4.13
The Winslow Boy,6.53,8.19,4.88
A Time to Kill,6.64,5.75,7.52
Il Divo ,,,
Soul Doctor,5.46,5.33,5.59
The Trip to Bountiful,6.65,7.72,5.59
Let It Be,5.89,5.90,5.88
Vanya and Sonia and Masha and Spike,7.49,8.46,6.52
The Nance,6.57,7.50,5.65
The Assembled Parties,6.87,7.69,6.06
Lucky Guy,6.56,7.32,5.81
Ann,5.54,6.57,4.51
I'll Eat You Last: A Chat With Sue Mengers,,,
Nice Work If You Can Get It,6.38,7.08,5.68
The Big Knife,6.04,6.17,5.92
Orphans,7.09,6.88,7.30
The Rascals: Once Upon a Dream,,,
The Testament of Mary,7.26,7.80,6.71
Breakfast at Tiffany's,5.14,5.20,5.08
Hands on a Hardbody,5.85,6.75,4.95
Manilow on Broadway,3.50,0.00,7.00
The Other Place,6.71,7.60,5.82
Evita,6.09,7.13,5.06
Golden Boy,7.28,8.38,6.19
Peter and the Starcatcher,7.01,7.33,6.70
Chaplin,6.16,6.29,6.04
Dead Accounts,6.03,5.40,6.66
Elf,,,
Grace,6.19,6.88,5.50
War Horse,7.45,8.38,6.53
"A Christmas Story, The Musical",,,
Bring It On: The Musical,,,
The Anarchist,5.18,5.56,4.80
